TC,TC_Description,TC_Main_Category,TC_Sub_Category
VB42,Change cross-selling,SD,Conditions
VB43,Display cross-selling,SD,Conditions
VB44,Copy cross-selling,SD,Conditions
VBG1,Create Material Grouping,SD,Free Goods
VBG2,Change Material Grouping,SD,Free Goods
VBG3,Display Material Grouping,SD,Free Goods
VBK0,Bonus Buy Selection,SD,Free Goods
VBK1,Create Bonus Buy,SD,Free Goods
VBK2,Change Bonus Buy,SD,Free Goods
VBK3,Display Bonus Buy,SD,Free Goods
VBK6,Delete Bonus Buy,SD,Free Goods
VBKB,Bonus Buy: Create Condition Table,SD,Free Goods
VBKC,Bonus Buy: Display Condition Table,SD,Free Goods
VBN1,Free goods - Create (SD),SD,Conditions
VBN2,Free goods - Change (SD),SD,Conditions
VBN3,Free goods - Display (SD),SD,Conditions
VBO1,Create Rebate Agreement,SD,Conditions
VBO2,Change Rebate Agreement,SD,Conditions
VBO3,Display Rebate Agreement,SD,Conditions
VBOE,Currency conversion rebate agreemnts,SD,Conditions
VBOF,Rebate: Update Billing Documents,SD,Conditions
VC/1,List of Customers,SD,Sales Activities
VC/2,Customer Master Data Sheet,SD,Sales Activities
VC/A,Sales Activity Description 01,SD,Sales Activities
VC/B,Sales Activity Description 02,SD,Sales Activities
VC/C,Sales Activity Description 03,SD,Sales Activities
VC/D,Sales Activity Description 04,SD,Sales Activities
VC/E,Sales Activity Description 05,SD,Sales Activities
VC/F,Sales Activity Description 06,SD,Sales Activities
VC/G,Sales Activity Description 07,SD,Sales Activities
VC/H,Sales Activity Description 08,SD,Sales Activities
VC/I,Sales Activity Description 09,SD,Sales Activities
VC/J,Sales Activity Description 10,SD,Sales Activities
VC00,Sales Support,SD,Sales Activities
VC01,Create Sales Activity,SD,Sales Activities
VC01N,Edit Sales Activity,SD,Sales Activities
VC02,Change Sales Activity,SD,Sales Activities
VC03,Display Sales Activity,SD,Sales Activities
VC05,Sales support monitor,SD,Sales Support
VC06,Parallel Processing for Address List,SD,Sales Promotions
VC15,Crossmatching,SD,Sales Support
VCC1,Payment Cards: Worklist,SD,Payment Cards
VCH1,Create Batch Search Strategy,SD,Conditions
VCH2,Change Batch Search Strategy,SD,Conditions
VCH3,Display Batch Search Strategy,SD,Conditions
VCR1,Competitive products,SD,Sales Support
VCUAC,Display Anti-dumping - Qty-dependent,SD,Basic Functions
VCUAE,Display Anti-dumping - Weight-depend,SD,Basic Functions
VCUDC,Display 3rd Country - Qty-dependent,SD,Basic Functions
VCUDE,Display 3rd Country - Weight-depend.,SD,Basic Functions
VCUP1,Display Preference - Qty-dependent,SD,Basic Functions
VCUP2,Display Preference - Weight-depend.,SD,Basic Functions
VCUPC,Display Pharma.Prod. - Qty-dependent,SD,Basic Functions
VCUPF,Display Pharma.Prod. - Weight-depen.,SD,Basic Functions
VCUST,Customer List,SD,Sales
VCUZ1,Display Ceiling - Quantity-dependent,SD,Basic Functions
VCUZ2,Display Ceiling - Weight-dependent,SD,Basic Functions
VCUZC,Display Quota - Quantity-dependent,SD,Basic Functions
VCUZE,Display Quota - Weight-dependent,SD,Basic Functions
VCUZP,Display Ceilings - Percentage,SD,Basic Functions
VD01,Create Customer (Sales),FI,Basic Functions
VD02,Change Customer (Sales),Logistics,Customer Master
VD03,Display Customer (Sales),FI,Basic Functions
VD04,Customer Changes (SD),FI,Financial Accounting
VD05,Block customer (sales),FI,Basic Functions
VD06,Mark customer for deletion (sales),FI,Basic Functions
VD07,Ref. doc. det. for ref. customer,SD,Material Maintenance
VD51,Maintain Customer-Material Info,SD,Sales
VD52,Maintain Cust-Mat.Info w/Select.Scrn,SD,Sales
VD53,Display Customer-Material Info,SD,Sales
VD54,Display Customer-Material Info,SD,Sales
VD59,List customer-material-info,SD,Basic Functions
VDDI,EMU currency conversion cust. master,Logistics,Customer Master
VDH1,Customer Hierarchy Maintenance (SD),SD,Basic Functions
VDH1N,Display/Maintain Customer Hierarchy,SD,Basic Functions
VDH2,Display Customer Hierarchy,SD,Basic Functions
VDH2N,Display customer hierarchy,SD,Basic Functions
VE01,INTRASTAT: Selection Dispatch to EU,SD,Basic Functions
VE02,INTRASTAT: Create Form - Germany,SD,Basic Functions
VE03,INTRASTAT: Create File - Germany,SD,Basic Functions
VE04,EXTRASTAT: Data selection for export,SD,Basic Functions
VE05,EXTRASTAT: Create File - Germany,SD,Basic Functions
VE06,INTRASTAT: Paper Form - Belgien,SD,Basic Functions
VE07,Create INTRASTAT Form for France,SD,Basic Functions
VE08,Create INTRASTAT File for Italy,SD,Basic Functions
VE09,Create INTRASTAT file for Belgium,SD,Basic Functions
VE10,Create INTRASTAT file for Holland,SD,Basic Functions
VE11,Create INTRASTAT file for Spain,SD,Basic Functions
VE12,Create INTRASTAT form for Holland,SD,Basic Functions
VE13,KOBRA data selection: export Germany,SD,Basic Functions
VE14,Create KOBRA file for Germany,SD,Basic Functions
VE15,Create disk - INTRA/EXTRA/KOBRA/VAR,SD,Basic Functions
VE16,Create INTRASTAT form for Austria,SD,Basic Functions
VE17,Create INTRASTAT form for Sweden,SD,Basic Functions
VE18,SED data selection for USA exporters,SD,Basic Functions
VE19,Create SED form for USA,SD,Basic Functions
VE20,Create AERP file for USA,SD,Basic Functions
VE21,VAR: Selection of bill. docs Switz.,SD,Basic Functions
VE22,Create VAR form for Switzerland,SD,Basic Functions
VE23,V.A.R.: File - Switzerland,SD,Basic Functions
VE24,Comm. Code Number Information  (old),SD,Basic Functions
VE24X,Commodity Code Information,SD,Basic Functions
VE25,SED: Selection: USA Carriers,SD,Basic Functions
VE27,HMF: Selection - USA,SD,Basic Functions
VE29,Assigned Documents for Each License,SD,Basic Functions
VE30,Existing licenses,SD,Basic Functions
VE31,Blocked SD Documents,SD,Basic Functions
VE32,INTRASTAT: Paper Form - Ireland,SD,Basic Functions
VE33,INTRASTAT: Paper Form - U.K.,SD,Basic Functions
VE34,INTRASTAT: Paper Form - Belgien,SD,Basic Functions
VE37,INTRASTAT: File - France,SD,Basic Functions
VE38,INTRASTAT: Selection Simulation - EU,SD,Basic Functions
VE39,EXTRASTAT: Selection  Simulation,SD,Basic Functions
VE40,KOBRA: Selection Simulation,SD,Basic Functions
VE41,VAR: Selection of bill. docs Switz.,SD,Basic Functions
VE42,INTRASTAT: File - Denmark,SD,Basic Functions
VE43,SED: Selection Exp. USA Simulation,SD,Basic Functions
VE44,SED: Select Carrier  USA Simulation,SD,Basic Functions
VE45,INTRASTAT: Paper Form - Greece,SD,Basic Functions
VE46,INTRASTAT: File - Finland,SD,Basic Functions
VE54,Preference Determination: Collective,SD,Basic Functions
VE55,Preference Determination: Individual,SD,Basic Functions
VE56,Check Export Control for Consistency,SD,Basic Functions
VE67,Aggregate Vendor Declarations,SD,Basic Functions
VE68,Request Vendor Declarations,SD,Basic Functions
VE72,Export - Billing Documents,SD,Basic Functions
VE73,Goods Catalog: Create Document,SD,Basic Functions
VE74,Goods Catalog: Create Diskette,SD,Basic Functions
VE81,Check Report: General FT Data,SD,Basic Functions
VE81X,Incompleteness: FT Material Data,SD,Basic Functions
VE82,Check Report: Export Control Data,SD,Basic Functions
VE82X,Incompleteness: Export Control Data,SD,Basic Functions
VE83,Check Report: Preference Data,SD,Basic Functions
VE83X,Incompleteness: Preference Material,SD,Basic Functions
VE84,Monitoring: Purchasing Info Records,SD,Basic Functions
VE85,Change Statistical Value - Import,SD,Basic Functions
VE86,Display Statistical Value - Import,SD,Basic Functions
VE87,Change Stat.Value - Subcontracting,SD,Basic Functions
VE88,Change Statistical Value - Export,SD,Basic Functions
VE89,Display Statistical Value - Export,SD,Basic Functions
VE90,Change preference values,SD,Basic Functions
VE91,Display Preference Values,SD,Basic Functions
VE92,Create INTRASTAT tape Luxembourg,SD,Basic Functions
VE93,EDI-CUSTEC Austria,SD,Basic Functions
VE94,Load Commodity Code for EU Countries,SD,Basic Functions
VE94X,Load Commodity Code for EU Countries,SD,Basic Functions
VE95,Create INTRASTAT papers: Portugal,SD,Basic Functions
VE96,EXTRASTAT Data Select.: Init. Screen,SD,Basic Functions
VE97,Create EXTRASTAT tape: Netherlands,SD,Basic Functions
VE98,Sales Invoice Values per Period,SD,Basic Functions
VE99,Create Document - Austria,SD,Basic Functions
VEA3,EXTRASTAT: File Version France,SD,Basic Functions
VEA4,EXTRASTAT: File Version France,SD,Basic Functions
VEA5,EXTRASTAT: File Version France,SD,Basic Functions
VEB1,Period-end Closings: Control,SD,Basic Functions
VEB2,DtA: Special Rule Countries/Regions,SD,Basic Functions
VEB5,Calculate Assemblies Individually,SD,Basic Functions
VEB6,Calculate Assemblies Collectively,SD,Basic Functions
VEB9,Customer Exits: Print Control,SD,Basic Functions
VECN,Profitability and Sales Accounting,CO,Profitability Analysis
VEFU,Foreign Trade: Add INTRASTAT Data,SD,Basic Functions
VEFUX,FT-GOV: Change transaction INTRASTAT,SD,Basic Functions
VEI0,Create INTRASTAT CUSDEC EDI IE,SD,Basic Functions
VEI1,Display IDoc Import,SD,Basic Functions
VEI2,Display IDoc Export,SD,Basic Functions
VEI3,Display Stat.Value - Subcontracting,SD,Basic Functions
VEI4,Merge: Remaining Commodity Codes,SD,Basic Functions
VEI5,Create value limit subcontracting,SD,Basic Functions
VEI6,EDI: IDoc List - Import Basis,SD,Basic Functions
VEI7,Create INTRASTAT CUSDEC EDI GB,SD,Basic Functions
VEI8,Create INTRASTAT CUSDEC EDI AT,SD,Basic Functions
VEI9,Create INTRASTAT CUSDEC EDI ES,SD,Basic Functions
VEIA,Create INTRASTAT CUSDEC EDI SE,SD,Basic Functions
VEIAE,EXTRASTAT Archiving,SD,Basic Functions
VEIAI,INTRASTAT Archiving,SD,Basic Functions
VEIB,Create INTRASTAT CUSDEC EDI PT,SD,Basic Functions
VEIC,Create INTRASTAT CUSDEC EDI FI,SD,Basic Functions
VEID,Create INTRASTAT CUSDEC EDI LU,SD,Basic Functions
VEIV,Foreign Trade: Add EXTRASTAT Data,SD,Basic Functions
VEIW,Create file INTRA/EXTRA/KOBRA,SD,Basic Functions
VEIX,Create file INTRA/EXTRA/KOBRA,SD,Basic Functions
VEIY,Create file INTRA/EXTRA/KOBRA,SD,Basic Functions
VEIZ,Create file INTRA/EXTRA/KOBRA,SD,Basic Functions
VEKU,For. Trade: Change KOBRA Documents,SD,Basic Functions
VEM4,Merge: EU - Commodity Code,SD,Basic Functions
VEPR,Customs log,SD,Basic Functions
VEU4,Load Commodity Code-Other Countries,SD,Basic Functions
VEU4X,Load Commodity Code-Other Countries,SD,Basic Functions
VEXU,Foreign Trade: Add EXTRASTAT Data,SD,Basic Functions
VEXUX,FT-GOV: Change transaction EXTRASTAT,SD,Basic Functions
VF00,9Sales organization & is not defined,SD,Billing
VF01,Create Billing Document,SD,Billing
VF02,Change Billing Document,SD,Billing
VF03,Display Billing Document,SD,Billing
VF04,Maintain Billing Due List,SD,Billing
VF05,List Billing Documents,SD,Basic Functions
VF06,Batch billing,SD,Billing
VF07,Display bill. document from archive,SD,Billing
VF08,Billing for ext. delivery,SD,Billing
VF11,Cancel Billing Document,SD,Billing
VF21,Create Invoice List,SD,Billing
VF22,Change invoice list,SD,Billing
VF23,Display Invoice List,SD,Billing
VF24,Edit Work List for Invoice Lists,SD,Billing
VF25,List of Invoice Lists,SD,Basic Functions
VF26,Cancellation invoice list,SD,Billing
VF27,Display invoice list from archive,SD,Billing
VF31,Output from Billing Documents,SD,Output Determination
VF44,Revenue Recognition: Worklist,SD,Revenue recognition
VF45,Revenue recognition: Revenue report,SD,Revenue recognition
VF46,Revenue Recognition: Cancellation,SD,Revenue recognition
VF47,Revenue Recognition:ConsistencyCheck,SD,Revenue recognition
VFAE,Archive EXTRASTAT Documents,SD,Basic Functions
VFAI,Archive INTRASTAT Documents,SD,Basic Functions
VFBS,Next screen control,Cross Application,Screen Sequence Control
VFBV,Reorganization of discount-rel. data,SD,Billing
VFLI,Log tax exemption,SD,Billing
VFRB,Retro-billing,SD,Basic Functions
VFS3,Adjusting info structure S060,SD,Billing
VFSN,Reorganization info structure S060,SD,Billing
VFX2,Display Blocked Billing Documents,SD,Billing
VFX3,List Blocked Billing Documents,SD,Billing
VG01,Create Group,Logistics Execution,Shipping
VG02,Change Group,Logistics Execution,Shipping
VG03,Display Group,Logistics Execution,Shipping
VGK1,Create Group for Delivery,Logistics Execution,Shipping
VGK2,Change Group for Delivery,Logistics Execution,Shipping
VGK3,Display Group for Delivery,Logistics Execution,Shipping
VGL1,Create Group for Delivery,Logistics Execution,Shipping
VGL2,Change Group for Delivery,Logistics Execution,Shipping
VGL3,Display Group for Delivery,Logistics Execution,Shipping
VGW1,Create Picking Wave,Logistics Execution,Shipping
VGW2,Change Picking Waves,Logistics Execution,Shipping
VGW3,Display Picking Waves,Logistics Execution,Shipping
VI00,Shipment costs,Logistics Execution,Freight Processing
VI01,Create shipment costs,Logistics Execution,Freight Processing
VI02,Change shipment costs,Logistics Execution,Freight Processing
VI03,Display shipment costs,Logistics Execution,Freight Processing
VI08,Display FT data in purchasing doc.,SD,Basic Functions
VI08X,Display FT data in purchasing doc.,SD,Basic Functions
VI09,Change FT Data in Purchasing Doc.,SD,Basic Functions
VI09X,Change FT Data in Purchasing Doc.,SD,Basic Functions
VI10,Display FT Data in Billing Document,SD,Basic Functions
VI10X,Display FT Data in Billing Document,SD,Basic Functions
VI14,Change FT Data in Billing Document,SD,Basic Functions
VI14X,Change FT Data in Billing Document,SD,Basic Functions
VI15,Display logs (appl. log),Logistics Execution,Freight Processing
VI17,Display FT Data in Inbound Delivery,SD,Basic Functions
VI17X,Display FT Data in Inbound Delivery,SD,Basic Functions
VI18,Display Anti-dumping,SD,Basic Functions
VI19,Display Third-country Customs Duties,SD,Basic Functions
VI20,Display Customs Quota,SD,Basic Functions
VI21,Display Pharmaceutical Products,SD,Basic Functions
VI22,Display Customs Exemption,SD,Basic Functions
VI23,Display Preferential Customs Duties,SD,Basic Functions
VI24,Code Number Information - Import,SD,Basic Functions
VI24X,Import Code No. Information,SD,Basic Functions
VI25,Display Gross Price - Customs,SD,Basic Functions
VI26,Display Surcharge/Discount - Customs,SD,Basic Functions
VI27,Display Freight - Customs,SD,Basic Functions
VI53,Change FT Data in Inbound Delivery,SD,Basic Functions
VI53X,Change FT Data in Inbound Delivery,SD,Basic Functions
VI64,Display FT Data in Outbound Delivery,SD,Basic Functions
VI64X,Display FT Data in Outbound Delivery,SD,Basic Functions
VI71,Change Preference Values,SD,Basic Functions
VI72,Display Insurance - Customs,SD,Basic Functions
VI73,Maintain Vendor Declaration,SD,Basic Functions
VI73N,Maintain Vendor Declaration,SD,Basic Functions
VI74,Display Vendor Declaration,SD,Basic Functions
VI74N,Display Vendor Declaration,SD,Basic Functions
VI75,Vendor Declarations - Dunning notice,SD,Basic Functions
VI77,Change FT Data in Outbound Delivery,SD,Basic Functions
VI77X,Change FT Data in Outbound Delivery,SD,Basic Functions
VI79,Display FT Data in Goods Receipt,SD,Basic Functions
VI79X,Display FT Data in Goods Receipt,SD,Basic Functions
VI80,Change FT Data in Goods Receipt,SD,Basic Functions
VI80X,Change FT Data in Goods Receipt,SD,Basic Functions
VI81,Check Report: CAP Products,SD,Basic Functions
VI81X,Check Report: CAP Products,SD,Basic Functions
VI82,Check General Customer Master Data,SD,Basic Functions
VI82X,Incompleteness: FT Customer Data,SD,Basic Functions
VI83,Check Customer Master/Legal Control,SD,Basic Functions
VI83X,Incompleteness:Customer Control Data,SD,Basic Functions
VI84,Doc.Payments: Check Customer Master,SD,Basic Functions
VI84X,Billing Doc.Incompleteness Customer,SD,Basic Functions
VI85,Incompleteness: Foreign Trade Vendor,SD,Basic Functions
VI86,Incompleteness: Cross-plant,SD,Basic Functions
VI90,Fill Foreign Components in BOMs,SD,Basic Functions
VI91,Display Foreign Components in BOMs,SD,Basic Functions
VI94,Load Import Code Nos - EU Countries,SD,Basic Functions
VI94X,Load Import Code Nos - EU Countries,SD,Basic Functions
VI96,Customer Exits: Default Values,SD,Basic Functions
